Serial No,Age,Gender,University,Department,Enrolled Program,T Number,S Number,B Number,Study Year,online Exam,Ofline Number,TSR,TOS,PCC1,DCC1,ACC1,PCC2,DCC2,ACC2,PCC3,DCC3,ACC3,PCC4,DCC4,ACC4,PCC5,DCC5,ACC5,PCC6,DCC6,ACC6,PCC7,DCC7,ACC7,PCC8,DCC8,ACC8,PTEA1,DTEA1,ATEA1,PTEA2,DTEA2,ATEA2,PTEA3,DTEA3,ATEA3,PTEA4,DTEA4,ATEA4,PIS1,DIS1,AIS1,PIS2,DIS2,AIS2,PIS3,DIS3,AIS3,PIS4,DIS4,AIS4,PIS5,DIS5,AIS5,PIS6,DIS6,AIS6,PARA1,DARA1,AARA1,PARA2,DARA2,AARA2,PARA3,DARA3,AARA3,CGPA
100,21,1,RUET,ME,1,30,180,5,"2,1",0,2,4,3,5,3,4,5,3,4,5,4,5,5,3,5,4,5,4,5,5,5,4,4,4,5,5,5,5,4,4,5,4,5,5,5,5,4,4,4,5,4,5,5,4,5,5,4,5,5,4,5,3,4,3,3,3,3,5,5,5,5,5,5,5,4,5,3.2
101,23,1,RUET,ME,1,30,180,5,"2,1",0,2,3,1,4,4,4,4,3,4,4,3,4,3,2,3,3,2,3,3,3,4,4,4,4,4,4,4,5,4,4,4,4,4,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,3,3,2,2,2,1,1,1,4,2,4,3,2,3,3,3,3,3.15
102,22,1,RUET,CE,1,30,180,5,"2,1",0,2,4,5,5,3,5,5,2,5,5,5,5,4,2,4,4,3,4,3,2,3,2,1,2,5,3,5,4,2,5,4,3,4,3,2,3,5,3,5,3,3,3,3,3,3,2,1,2,4,2,4,3,2,3,2,1,2,3,2,3,4,3,4,4,4,4,2.81
103,21,1,RUET,CE,1,30,180,5,"2,1",2,1,4,4,5,3,5,5,3,5,3,1,3,3,2,3,4,2,4,4,2,4,3,1,3,3,2,3,4,3,4,4,2,4,3,2,3,3,1,3,3,2,3,4,2,4,4,2,4,3,2,3,4,2,3,3,2,4,3,2,3,3,2,3,4,2,4,2.87
104,21,1,RUET,EEE,1,45,180,5,"2,1",0,2,3,3,4,3,4,4,3,4,4,3,5,2,1,2,1,1,1,2,1,3,1,1,1,1,1,1,4,4,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3.27
105,19,1,RUET,EEE,1,45,180,5,"2,1",0,2,3,3,5,2,5,4,1,4,2,1,2,2,2,3,2,1,2,2,1,2,2,1,2,3,1,2,4,1,3,4,1,3,3,3,3,3,1,3,3,1,3,3,1,2,2,1,2,2,1,2,3,3,3,2,1,2,2,1,2,1,1,1,1,1,1,3.42
106,21,1,RUET,EEE,1,45,180,5,"2,1",0,2,4,4,4,3,3,5,4,2,5,5,5,5,4,4,4,4,4,5,4,5,2,2,2,2,2,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,4,3,2,3,3,3,4,3,2,2,2,2,2,2,2,3
107,23,1,RUET,CE,1,25,65,5,"3,2",0,5,4,5,5,3,5,4,4,5,5,3,5,5,3,5,5,5,5,4,4,4,5,5,5,5,5,5,4,3,5,4,4,4,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,2.7
108,21,2,HSTU,DS,1,5,39,3,"2,2",1,2,5,5,5,3,5,4,3,4,5,4,5,5,5,5,5,5,5,5,5,5,4,2,4,4,3,4,3,2,4,5,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3.56
109,22,2,HSTU,DS,1,5,39,3,"2,2",1,2,4,4,5,3,5,4,3,4,5,4,5,5,3,5,5,5,5,5,5,5,4,2,3,5,3,4,4,3,3,5,4,3,5,3,3,5,5,5,5,5,5,3,3,3,4,3,4,5,3,4,4,3,4,3,3,3,5,5,5,3,2,3,4,4,4,3.5
